Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 09 Aug 2023 10:56:43 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1900-9001-IND,1900,9001,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,Bengal,,,,,No,No,,,Km2,,,,,1900,,,1900,,,1250000,,,,,,,,,,,2.8490844088613,,,,
1905-0003-IND,1905,0003,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Kangra,,,,,,,,8,Richter,32.04,76.16,06:20,,1905,4,4,1905,4,4,20000,,,,,,,,,25000,812477,3.0770111615701,,,,
1907-0001-IND,1907,0001,,Natural,Biological,Epidemic,Bacterial disease,,Bubonic,India,IND,Southern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1907,,,1907,,,1300000,,,,,,,,,,,3.1909745379246,,,,
1916-0004-IND,1916,0004,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Cuddalore, Pondicherry",,,,,,,,,Kph,,,,,1916,11,21,1916,11,21,300,,,,,,,,,,,3.7266024067905,,,,
1920-0001-IND,1920,0001,,Natural,Biological,Epidemic,Bacterial disease,,Bubonic,India,IND,Southern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1920,,,1920,,,2000000,,,,,,,,,,,6.8605952565379,,,,
1920-0002-IND,1920,0002,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,India,IND,Southern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1920,,,1920,,,500000,,,,,,,,,,,6.8605952565379,,,,
1924-0003-IND,1924,0003,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Punjab province,,,,,,,,,Kph,,,,,1924,9,23,1924,9,23,1242,,1000000,,1000000,,,,,,,5.8691138822542,,,,
1924-0001-IND,1924,0001,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,India,IND,Southern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1924,,,1924,,,300000,,,,,,,,,,,5.8691138822542,,,,
1925-0004-IND,1925,0004,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Bezwada, Masulipatam",,,,,,,,,Kph,,,,,1925,5,10,1925,5,10,80,,,,,,,,,,,6.0058699338795,,,,
1926-0008-IND,1926,0008,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,Bengal,,,,,,,,,Km2,,,,,1926,7,19,1926,7,19,,,,,,,,,,,,6.0628516220567,,,,
1926-0001-IND,1926,0001,,Natural,Biological,Epidemic,Viral disease,,,India,IND,Southern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1926,,,1926,,,423000,,,,,,,,,,,6.0628516220567,,,,
1927-0008-IND,1927,0008,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Gujarat, Ahmedabad, Baroda",,,,,,,,,Kph,,,,,1927,7,23,1927,7,23,56,10,40000,,40010,,,,,,,5.9488882457024,,,,
1927-0011-IND,1927,0011,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Nellore,,,,,,,,,Kph,,,,,1927,11,1,1927,11,1,629,,,,,,,,,,,5.9488882457024,,,,
1928-0018-IND,1928,0018,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Godavari, Vizagapatnam",,,,,,,,,Km2,,,,,1928,10,19,1928,10,19,36,,,2000,2000,,,,,,,5.8805102198896,,,,
1935-0015-IND,1935,0015,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1935,,,1935,,,60000,,,,,,,,,,,4.6952911058033,,,,
1935-0014-IND,1935,0014,,Natural,Meteorological,Storm,,,,India,IND,Southern Asia,Asia,"Madras, Negapatam",,,,,,,,,Kph,,,,,1935,11,13,1935,11,13,100,,,,,,,,,,,4.6952911058033,,,,
1936-0009-IND,1936,0009,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Guntur (Madras),,,,,,,,,Kph,,,,,1936,10,28,1936,10,28,233,,,,,,,,,,,4.7522727939805,,,,
1942-9003-IND,1942,9003,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,"Calcutta, Bengal region",,Famine,,,No,No,,,Km2,,,,,1942,,,1942,,,1500000,,,,,,,,,,,5.5956017790036,,,,
1942-0009-IND,1942,0009,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Orissa, West Bengal",,,,,,,,,Kph,,,,,1942,10,14,1942,10,14,40000,,,,,,,,,,,5.5956017790036,,,,
1943-0011-IND,1943,0011,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Rajputana,,,,,,,,,Kph,,,,,1943,7,24,1943,7,24,5000,,,,,,,,,,,5.9260955704314,,,,
1943-0012-IND,1943,0012,,Natural,Meteorological,Storm,,,,India,IND,Southern Asia,Asia,Madras,,,,,,,,,Kph,,,,,1943,10,3,1943,10,3,,,30000,,30000,,,,,,,5.9260955704314,,,,
1944-0006-IND,1944,0006,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Assam,,,,,,,,,Kph,,,,,1944,6,14,1944,6,14,304,,,,,,,,,,,6.0286626091504,,,,
1945-0005-IND,1945,0005,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Gujarat, Punjab",,,,,,,,,Kph,,,,,1945,9,18,1945,9,18,,,,2000,2000,,,,,,,6.1654186607757,,,,
1948-0008-IND,1948,0008,,Natural,Hydrological,Landslide,Landslide,,,India,IND,Southern Asia,Asia,Assam,,,,,,,,,,,,,,1948,9,18,1948,9,18,500,,,,,,,,,,,8.2281557727913,,,,
